# character, uuid
CRAMER, 14deaf70-5d6b-5ac4-9864-468e32d9eb14
CREW, 7cc95b06-03ef-56dd-95d7-1568585750c1
CROWD, 48a2fbde-21e1-5c56-885a-d3b84b899436
CULL OBSIDIAN, ceea2ed3-0bf2-5ee6-b657-11d612607ee8
CUSTODIAN, de3fcfca-1929-57ff-84a0-083ea3b3e085
DALE, ec544454-ac52-5f6d-b435-8797269e6c2f
DARCY LEWIS, 612e931c-ae04-56d9-a6d1-cb28ee29c3eb
DARREN CROSS, 7e3723ff-e17a-5c64-8958-6980ce5212bf
DAVE, 5fdf183e-ffd5-5818-981d-5e71d1875762
DAY SLEEPER, 5b058b8c-364a-54df-b8b3-7f75a9a6ff26
DECATHLON TEAM, f8312af9-2a6d-5ab0-963a-23b9f31e5326
DELI CLERK, caef64df-b6e4-5166-aa10-5ab34566e8e0
DELIVERY TRUCK DRIVER, 1f3c3130-bfb2-576d-a18f-a8209663f02b
DESK OFFICER, 2f7bbdb5-1f98-538d-8732-72c683aa16af
DETECTIVE, cdb90dad-2d2e-50f8-bfba-10cc5ee33aec
DIRECTOR, 8f3ce023-6f23-5b55-b132-46ea41318cbb
DOCTOR, cd9c4737-218e-51d8-b4ca-9467dd8167fa
DOCTOR #1, b5119679-0768-5be6-9a47-89c523acbdee
DODC AGENT, 33f81ffc-e990-5582-a5d4-9dd87c387cb1
DODC CENTRAL, 8176adb4-3f7e-567e-a11a-e38df823ad60
DODC DRIVER, 2779bedc-d99e-5359-8adb-55627d16c40f
DODGERS ANNOUNCER, 6609c062-9ce1-548d-aa6d-1893c66e2970
DOME CONTROL, b1f53dba-98ea-57d5-a72d-9974c25171fe
DORA MILAJE 1, 1cc9e4be-1b1d-5398-beaa-eeb0788c255a
DORIS TOOMES, 68a041ae-86fe-5aa3-9ca9-f50030db0e0d
DR. ABRAHAM ERSKINE, 746256d7-4cc5-5f21-9a96-13ee5cb91ffd
DR. ARNIM ZOLA, 27a2055d-c267-5c1c-ac5e-005ea014ec3b
DR. HELEN CHO, 34620a01-9b15-5b3d-bc0d-15bae7cd1922
DR. LIST, 40120e52-5f59-5a4e-8ffb-15a621c1a965
DRAX, 6f1e7108-4c7e-50ca-9c1d-c6048d2792cd
DRILL INSTRUCTOR, 0f833546-15bc-5644-933c-ef21e8729386
DRIVER, cb912d78-58db-578e-99c7-00af999874a4
DRUNK TOWNIE, f318a73d-a15f-57e8-96d0-3d853de4ef2d
DRUNK TOWNIE JAKE, 713bfb8c-c4fa-56b6-9497-21fba5c16259
DUBAI BEAUTY #1, be207f5e-0f18-5007-a724-c0f10fc57223
DUM DUM DUGAN, 5c8c9ca6-89bc-5d43-9377-8da51e68bd24
DURAND, 955ad593-83fd-566b-8992-13199fee061f
EAGER TOWNIE, 19d51566-971b-5a76-9a90-b8876416976f
EBONY MAW, 0af61b9f-ec27-5f95-8aa8-c83dfde8ffb5
EDWIN JARVIS, c8715772-27ec-5e92-b63e-0f2aa3f60a28
EGO, ac03fd76-0e14-5446-9369-78ac2e25ecc0
EINHERJAR GUARD, 52391f44-544d-574b-a533-68cff78b13d7
EINHERJAR LIEUTENANT, db8a7786-ef18-5f8f-8079-24769768cd45
EIR, 38fb9601-9ce9-52cb-9b3f-cde65156852f
EITRI, 6a656bba-03b4-5502-bf77-b2457a0aa2ac
ELDERLY WOMAN, 09c00ae8-d406-5aae-b366-cd173e99ee7a
